Order_ID,Date,City,Category,Product,Quantity,Price
1001,2026-01-03,Cairo,Laptop,Laptop Pro,2,35000
1002,2026-01-03,Giza,Phone,Galaxy S25,3,18000
1003,2026-01-04,Alexandria,Tablet,iPad Air,1,28000
1004,2026-01-05,Cairo,Phone,iPhone 17,2,42000
1005,2026-01-05,Mansoura,Laptop,ThinkPad X1,1,39000
1006,2026-01-06,Cairo,Accessory,Mouse,10,350
1007,2026-01-06,Giza,Accessory,Keyboard,5,1200
1008,2026-01-07,Alexandria,Phone,Galaxy S25,1,18000
1009,2026-01-08,Cairo,Laptop,MacBook Air M4,2,52000
1010,2026-01-08,Tanta,Tablet,Galaxy Tab S10,2,24000
1011,2026-01-09,Cairo,Accessory,Monitor 27,3,6500
1012,2026-01-10,Giza,Laptop,Laptop Pro,1,35000
1013,2026-01-10,Mansoura,Phone,iPhone 17,1,42000
1014,2026-01-11,Alexandria,Accessory,Mouse,15,350
1015,2026-01-12,Cairo,Tablet,iPad Air,2,28000
1016,2026-01-12,Giza,Laptop,ThinkPad X1,2,39000
1017,2026-01-13,Tanta,Accessory,Keyboard,4,1200
1018,2026-01-14,Cairo,Phone,Galaxy S25,4,18000
1019,2026-01-15,Alexandria,Laptop,MacBook Air M4,1,52000
1020,2026-01-15,Mansoura,Accessory,Monitor 27,2,6500
1021,2026-01-16,Cairo,Phone,iPhone 17,2,42000
1022,2026-01-17,Giza,Tablet,Galaxy Tab S10,1,24000
1023,2026-01-18,Alexandria,Laptop,Laptop Pro,2,35000
1024,2026-01-18,Tanta,Accessory,Mouse,20,350
1025,2026-01-19,Cairo,Laptop,ThinkPad X1,1,39000
1026,2026-01-20,Giza,Phone,Galaxy S25,2,18000
1027,2026-01-21,Alexandria,Tablet,iPad Air,1,28000
1028,2026-01-22,Mansoura,Accessory,Keyboard,3,1200
1029,2026-01-23,Cairo,Laptop,MacBook Air M4,1,52000
1030,2026-01-24,Tanta,Phone,iPhone 17,1,42000
